UF,codMun,AreaPrestacao
MG,3100104,Setor 2
MG,3100203,Setor 2
MG,3100302,Setor 2
MG,3100401,Setor 2
MG,3100500,Setor 2
MG,3100609,Setor 2
MG,3100708,Setor 2
MG,3100807,Setor 2
MG,3100906,Setor 2
MG,3101003,Setor 2
MG,3101102,Setor 2
MG,3101201,Setor 2
MG,3101300,Setor 2
MG,3101409,Setor 2
MG,3101508,Setor 2
MG,3101607,Setor 2
MG,3101631,Setor 2
MG,3101706,Setor 2
MG,3101805,Setor 2
MG,3101904,Setor 2
MG,3102001,Setor 2
MG,3102050,Setor 2
MG,3102100,Setor 2
MG,3102209,Setor 2
MG,3102308,Setor 2
MG,3102407,Setor 2
MG,3102506,Setor 2
MG,3102605,Setor 2
MG,3102704,Setor 2
MG,3102803,Setor 2
MG,3102852,Setor 2
MG,3102902,Setor 2
MG,3103009,Setor 2
MG,3103108,Setor 2
MG,3103207,Setor 2
MG,3103306,Setor 2
MG,3103405,Setor 2
MG,3103504,Setor 2
MG,3103603,Setor 2
MG,3103702,Setor 2
MG,3103801,Setor 2
MG,3104007,Setor 2
MG,3104106,Setor 2
MG,3104205,Setor 2
MG,3104304,Setor 2
MG,3104403,Setor 2
MG,3104452,Setor 2
MG,3104502,Setor 2
MG,3104601,Setor 2
MG,3104700,Setor 2
MG,3104809,Setor 2
MG,3104908,Setor 2
MG,3105004,Setor 2
MG,3105103,Setor 2
MG,3105202,Setor 2
MG,3105301,Setor 2
MG,3105400,Setor 2
MG,3105509,Setor 2
MG,3105608,Setor 2
MG,3105707,Setor 2
MG,3105905,Setor 2
MG,3106002,Setor 2
MG,3106101,Setor 2
MG,3106200,Setor 2
MG,3106309,Setor 2
MG,3106408,Setor 2
MG,3106507,Setor 2
MG,3106606,Setor 2
MG,3106655,Setor 2
MG,3106705,Setor 2
MG,3106804,Setor 2
MG,3106903,Setor 2
MG,3107000,Setor 2
MG,3107109,Setor 2
MG,3107208,Setor 2
MG,3107307,Setor 2
MG,3107406,Setor 2
MG,3107505,Setor 2
MG,3107604,Setor 2
MG,3107703,Setor 2
MG,3107802,Setor 2
MG,3107901,Setor 2
MG,3108008,Setor 2
MG,3108107,Setor 2
MG,3108206,Setor 2
MG,3108255,Setor 2
MG,3108305,Setor 2
MG,3108404,Setor 2
MG,3108503,Setor 2
MG,3108552,Setor 2
MG,3108602,Setor 2
MG,3108701,Setor 2
MG,3108800,Setor 2
MG,3108909,Setor 2
MG,3109006,Setor 2
MG,3109105,Setor 2
MG,3109204,Setor 2
MG,3109253,Setor 2
MG,3109303,Setor 2
MG,3109402,Setor 2
MG,3109451,Setor 2
MG,3109501,Setor 2
MG,3109600,Setor 2
MG,3109709,Setor 2
MG,3109808,Setor 2
MG,3109907,Setor 2
MG,3110004,Setor 2
MG,3110103,Setor 2
MG,3110202,Setor 2
MG,3110301,Setor 2
MG,3110400,Setor 2
MG,3110509,Setor 2
MG,3110608,Setor 2
MG,3110707,Setor 2
MG,3110806,Setor 2
MG,3110905,Setor 2
MG,3111002,Setor 2
MG,3111150,Setor 2
MG,3111200,Setor 2
MG,3111309,Setor 2
MG,3111606,Setor 2
MG,3111705,Setor 2
MG,3111903,Setor 2
MG,3112000,Setor 2
MG,3112059,Setor 2
MG,3112109,Setor 2
MG,3112208,Setor 2
MG,3112307,Setor 2
MG,3112406,Setor 2
MG,3112505,Setor 2
MG,3112653,Setor 2
MG,3112703,Setor 2
MG,3112802,Setor 2
MG,3112901,Setor 2
MG,3113008,Setor 2
MG,3113107,Setor 2
MG,3113206,Setor 2
MG,3113305,Setor 2
MG,3113404,Setor 2
MG,3113503,Setor 2
MG,3113602,Setor 2
MG,3113701,Setor 2
MG,3113800,Setor 2
MG,3113909,Setor 2
MG,3114006,Setor 2
MG,3114105,Setor 2
MG,3114204,Setor 2
MG,3114402,Setor 2
MG,3114501,Setor 2
MG,3114600,Setor 2
MG,3114709,Setor 2
MG,3114808,Setor 2
MG,3114907,Setor 2
MG,3115003,Setor 2
MG,3115102,Setor 2
MG,3115201,Setor 2
MG,3115300,Setor 2
MG,3115359,Setor 2
MG,3115409,Setor 2
MG,3115458,Setor 2
MG,3115474,Setor 2
MG,3115508,Setor 2
MG,3115607,Setor 2
MG,3115706,Setor 2
MG,3115904,Setor 2
MG,3116001,Setor 2
MG,3116100,Setor 2
MG,3116159,Setor 2
MG,3116209,Setor 2
MG,3116308,Setor 2
MG,3116407,Setor 2
MG,3116506,Setor 2
MG,3116605,Setor 2
MG,3116704,Setor 2
MG,3116803,Setor 2
MG,3117009,Setor 2
MG,3117108,Setor 2
MG,3117207,Setor 2
MG,3117405,Setor 2
MG,3117504,Setor 2
MG,3117603,Setor 2
MG,3117702,Setor 2
MG,3117801,Setor 2
MG,3117836,Setor 2
MG,3117876,Setor 2
MG,3117900,Setor 2
MG,3118007,Setor 2
MG,3118106,Setor 2
MG,3118205,Setor 2
MG,3118304,Setor 2
MG,3118403,Setor 2
MG,3118502,Setor 2
MG,3118601,Setor 2
MG,3118700,Setor 2
MG,3118809,Setor 2
MG,3118908,Setor 2
MG,3119005,Setor 2
MG,3119104,Setor 2
MG,3119203,Setor 2
MG,3119302,Setor 2
MG,3119401,Setor 2
MG,3119500,Setor 2
MG,3119609,Setor 2
MG,3119708,Setor 2
MG,3119906,Setor 2
MG,3119955,Setor 2
MG,3120003,Setor 2
MG,3120102,Setor 2
MG,3120151,Setor 2
MG,3120201,Setor 2
MG,3120300,Setor 2
MG,3120409,Setor 2
MG,3120508,Setor 2
MG,3120607,Setor 2
MG,3120805,Setor 2
MG,3120839,Setor 2
MG,3120870,Setor 2
MG,3120904,Setor 2
MG,3121001,Setor 2
MG,3121100,Setor 2
MG,3121209,Setor 2
MG,3121308,Setor 2
MG,3121407,Setor 2
MG,3121506,Setor 2
MG,3121605,Setor 2
MG,3121704,Setor 2
MG,3121803,Setor 2
MG,3121902,Setor 2
MG,3122009,Setor 2
MG,3122108,Setor 2
MG,3122207,Setor 2
MG,3122306,Setor 2
MG,3122355,Setor 2
MG,3122405,Setor 2
MG,3122454,Setor 2
MG,3122470,Setor 2
MG,3122504,Setor 2
MG,3122603,Setor 2
MG,3122702,Setor 2
MG,3122801,Setor 2
MG,3122900,Setor 2
MG,3123007,Setor 2
MG,3123106,Setor 2
MG,3123205,Setor 2
MG,3123304,Setor 2
MG,3123403,Setor 2
MG,3123502,Setor 2
MG,3123528,Setor 2
MG,3123601,Setor 2
MG,3123700,Setor 2
MG,3123809,Setor 2
MG,3123858,Setor 2
MG,3123908,Setor 2
MG,3124005,Setor 2
MG,3124104,Setor 2
MG,3124203,Setor 2
MG,3124302,Setor 2
MG,3124401,Setor 2
MG,3124500,Setor 2
MG,3124609,Setor 2
MG,3124708,Setor 2
MG,3124807,Setor 2
MG,3124906,Setor 2
MG,3125002,Setor 2
MG,3125101,Setor 2
MG,3125200,Setor 2
MG,3125309,Setor 2
MG,3125408,Setor 2
MG,3125507,Setor 2
MG,3125606,Setor 2
MG,3125705,Setor 2
MG,3125804,Setor 2
MG,3125903,Setor 2
MG,3125952,Setor 2
MG,3126000,Setor 2
MG,3126109,Setor 2
MG,3126208,Setor 2
MG,3126307,Setor 2
MG,3126406,Setor 2
MG,3126505,Setor 2
MG,3126604,Setor 2
MG,3126703,Setor 2
MG,3126752,Setor 2
MG,3126802,Setor 2
MG,3126901,Setor 2
MG,3126950,Setor 2
MG,3127008,Setor 2
MG,3127057,Setor 2
MG,3127073,Setor 2
MG,3127206,Setor 2
MG,3127305,Setor 2
MG,3127339,Setor 2
MG,3127354,Setor 2
MG,3127370,Setor 2
MG,3127388,Setor 2
MG,3127404,Setor 2
MG,3127503,Setor 2
MG,3127602,Setor 2
MG,3127701,Setor 2
MG,3127800,Setor 2
MG,3127909,Setor 2
MG,3128006,Setor 2
MG,3128105,Setor 2
MG,3128204,Setor 2
MG,3128253,Setor 2
MG,3128303,Setor 2
MG,3128402,Setor 2
MG,3128501,Setor 2
MG,3128600,Setor 2
MG,3128709,Setor 2
MG,3128808,Setor 2
MG,3128907,Setor 2
MG,3129004,Setor 2
MG,3129202,Setor 2
MG,3129301,Setor 2
MG,3129400,Setor 2
MG,3129509,Setor 2
MG,3129608,Setor 2
MG,3129657,Setor 2
MG,3129806,Setor 2
MG,3129905,Setor 2
MG,3130002,Setor 2
MG,3130051,Setor 2
MG,3130101,Setor 2
MG,3130408,Setor 2
MG,3130507,Setor 2
MG,3130556,Setor 2
MG,3130606,Setor 2
MG,3130655,Setor 2
MG,3130804,Setor 2
MG,3130903,Setor 2
MG,3131000,Setor 2
MG,3131109,Setor 2
MG,3131158,Setor 2
MG,3131208,Setor 2
MG,3131307,Setor 2
MG,3131505,Setor 2
MG,3131604,Setor 2
MG,3131703,Setor 2
MG,3131802,Setor 2
MG,3131901,Setor 2
MG,3132008,Setor 2
MG,3132107,Setor 2
MG,3132206,Setor 2
MG,3132305,Setor 2
MG,3132404,Setor 2
MG,3132503,Setor 2
MG,3132602,Setor 2
MG,3132701,Setor 2
MG,3132800,Setor 2
MG,3132909,Setor 2
MG,3133006,Setor 2
MG,3133105,Setor 2
MG,3133204,Setor 2
MG,3133303,Setor 2
MG,3133501,Setor 2
MG,3133600,Setor 2
MG,3133709,Setor 2
MG,3133758,Setor 2
MG,3133808,Setor 2
MG,3133907,Setor 2
MG,3134004,Setor 2
MG,3134103,Setor 2
MG,3134301,Setor 2
MG,3134509,Setor 2
MG,3134608,Setor 2
MG,3134707,Setor 2
MG,3134806,Setor 2
MG,3134905,Setor 2
MG,3135001,Setor 2
MG,3135050,Setor 2
MG,3135076,Setor 2
MG,3135100,Setor 2
MG,3135209,Setor 2
MG,3135308,Setor 2
MG,3135357,Setor 2
MG,3135407,Setor 2
MG,3135456,Setor 2
MG,3135506,Setor 2
MG,3135605,Setor 2
MG,3135704,Setor 2
MG,3135803,Setor 2
MG,3135902,Setor 2
MG,3136009,Setor 2
MG,3136108,Setor 2
MG,3136207,Setor 2
MG,3136306,Setor 2
MG,3136405,Setor 2
MG,3136504,Setor 2
MG,3136520,Setor 2
MG,3136553,Setor 2
MG,3136579,Setor 2
MG,3136603,Setor 2
MG,3136652,Setor 2
MG,3136702,Setor 2
MG,3136801,Setor 2
MG,3136900,Setor 2
MG,3136959,Setor 2
MG,3137007,Setor 2
MG,3137205,Setor 2
MG,3137304,Setor 2
MG,3137403,Setor 2
MG,3137601,Setor 2
MG,3137700,Setor 2
MG,3137809,Setor 2
MG,3137908,Setor 2
MG,3138005,Setor 2
MG,3138104,Setor 2
MG,3138203,Setor 2
MG,3138302,Setor 2
MG,3138351,Setor 2
MG,3138401,Setor 2
MG,3138500,Setor 2
MG,3138609,Setor 2
MG,3138658,Setor 2
MG,3138674,Setor 2
MG,3138682,Setor 2
MG,3138708,Setor 2
MG,3138906,Setor 2
MG,3139003,Setor 2
MG,3139102,Setor 2
MG,3139201,Setor 2
MG,3139250,Setor 2
MG,3139300,Setor 2
MG,3139409,Setor 2
MG,3139508,Setor 2
MG,3139607,Setor 2
MG,3139805,Setor 2
