UF,Municipio,popMun,AnoBase,codMun,popUF
RO,Alta Floresta D'Oeste,25652,2014,1100015,1748531
RO,Alto Alegre dos Parecis,13884,2014,1100379,1748531
RO,Alto Paraíso,19841,2014,1100403,1748531
RO,Alvorada D'Oeste,17228,2014,1100346,1748531
RO,Ariquemes,102860,2014,1100023,1748531
RO,Buritis,37207,2014,1100452,1748531
RO,Cabixi,6424,2014,1100031,1748531
RO,Cacaulândia,6318,2014,1100601,1748531
RO,Cacoal,86556,2014,1100049,1748531
RO,Campo Novo de Rondônia,14081,2014,1100700,1748531
RO,Candeias do Jamari,23573,2014,1100809,1748531
RO,Castanheiras,3653,2014,1100908,1748531
RO,Cerejeiras,18013,2014,1100056,1748531
RO,Chupinguaia,9887,2014,1100924,1748531
RO,Colorado do Oeste,19001,2014,1100064,1748531
RO,Corumbiara,8938,2014,1100072,1748531
RO,Costa Marques,16258,2014,1100080,1748531
RO,Cujubim,20204,2014,1100940,1748531
RO,Espigão D'Oeste,32047,2014,1100098,1748531
RO,Governador Jorge Teixeira,10327,2014,1101005,1748531
RO,Guajará-Mirim,46203,2014,1100106,1748531
RO,Itapuã do Oeste,9831,2014,1101104,1748531
RO,Jaru,55669,2014,1100114,1748531
RO,Ji-Paraná,129242,2014,1100122,1748531
RO,Machadinho D'Oeste,36412,2014,1100130,1748531
RO,Ministro Andreazza,10860,2014,1101203,1748531
RO,Mirante da Serra,12414,2014,1101302,1748531
RO,Monte Negro,15710,2014,1101401,1748531
RO,Nova Brasilândia D'Oeste,21511,2014,1100148,1748531
RO,Nova Mamoré,26925,2014,1100338,1748531
RO,Nova União,7853,2014,1101435,1748531
RO,Novo Horizonte do Oeste,10393,2014,1100502,1748531
RO,Ouro Preto do Oeste,40010,2014,1100155,1748531
RO,Parecis,5589,2014,1101450,1748531
RO,Pimenta Bueno,37230,2014,1100189,1748531
RO,Pimenteiras do Oeste,2432,2014,1101468,1748531
RO,Porto Velho,494013,2014,1100205,1748531
RO,Presidente Médici,22783,2014,1100254,1748531
RO,Primavera de Rondônia,3548,2014,1101476,1748531
RO,Rio Crespo,3709,2014,1100262,1748531
RO,Rolim de Moura,55807,2014,1100288,1748531
RO,Santa Luzia D'Oeste,8706,2014,1100296,1748531
RO,São Felipe D'Oeste,6160,2014,1101484,1748531
RO,São Francisco do Guaporé,18640,2014,1101492,1748531
RO,São Miguel do Guaporé,23803,2014,1100320,1748531
RO,Seringueiras,12543,2014,1101500,1748531
RO,Teixeirópolis,5041,2014,1101559,1748531
RO,Theobroma,11345,2014,1101609,1748531
RO,Urupá,13391,2014,1101708,1748531
RO,Vale do Anari,10682,2014,1101757,1748531
RO,Vale do Paraíso,8327,2014,1101807,1748531
RO,Vilhena,89797,2014,1100304,1748531
AC,Acrelândia,13613,2014,1200013,790101
AC,Assis Brasil,6610,2014,1200054,790101
AC,Brasiléia,23378,2014,1200104,790101
AC,Bujari,9173,2014,1200138,790101
AC,Capixaba,10170,2014,1200179,790101
AC,Cruzeiro do Sul,80953,2014,1200203,790101
AC,Epitaciolândia,16417,2014,1200252,790101
AC,Feijó,32398,2014,1200302,790101
AC,Jordão,7330,2014,1200328,790101
AC,Mâncio Lima,16795,2014,1200336,790101
AC,Manoel Urbano,8514,2014,1200344,790101
AC,Marechal Thaumaturgo,16380,2014,1200351,790101
AC,Plácido de Castro,17979,2014,1200385,790101
AC,Porto Acre,16396,2014,1200807,790101
AC,Porto Walter,10453,2014,1200393,790101
